2025-01-21 09:11:18 JST [INFO] フェッチ開始: sub_name=move-categories, stage=2, endpoint=https://pokeapi.co/api/v2/move-category?limit=100000&offset=0
2025-01-21 09:11:18 JST [DEBUG] GET https://pokeapi.co/api/v2/move-category?limit=100000&offset=0 - status=200
2025-01-21 09:11:18 JST [INFO] 対象アイテム数: 14 件
2025-01-21 09:11:18 JST [DEBUG] items preview: [{'name': 'damage', 'url': 'https://pokeapi.co/api/v2/move-category/0/'}, {'name': 'ailment', 'url': 'https://pokeapi.co/api/v2/move-category/1/'}, {'name': 'net-good-stats', 'url': 'https://pokeapi.co/api/v2/move-category/2/'}] (・・・)
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='ohko', url='https://pokeapi.co/api/v2/move-category/9/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='swagger', url='https://pokeapi.co/api/v2/move-category/5/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='net-good-stats', url='https://pokeapi.co/api/v2/move-category/2/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='field-effect', url='https://pokeapi.co/api/v2/move-category/11/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='damage+heal', url='https://pokeapi.co/api/v2/move-category/8/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='damage+lower', url='https://pokeapi.co/api/v2/move-category/6/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='damage+ailment', url='https://pokeapi.co/api/v2/move-category/4/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='damage', url='https://pokeapi.co/api/v2/move-category/0/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='unique', url='https://pokeapi.co/api/v2/move-category/13/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='whole-field-effect', url='https://pokeapi.co/api/v2/move-category/10/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='damage+raise', url='https://pokeapi.co/api/v2/move-category/7/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='ailment', url='https://pokeapi.co/api/v2/move-category/1/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='heal', url='https://pokeapi.co/api/v2/move-category/3/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Fetching item='force-switch', url='https://pokeapi.co/api/v2/move-category/12/'
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00006.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00008.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00003.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00002.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00011.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-category/1/ - status=200
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00001.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00010.json
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-category/12/ - status=200
2025-01-21 09:11:18 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories\00012.json
2025-01-21 09:11:18 JST [INFO] フェッチ完了: sub_name=move-categories (stage=2), dir=C:\Users\ns69a\allpokemon\backend\data\raw\move\move-categories
